objectid,cdmid,title,date,year,index_description,headlines,subject,cdm_pdf_link
arg-1948-12-10,2477,"December 10th, 1948",1948-12-10,1948,"Freshman team vs. Gonzaga junior varsity (pg 4, c1) | Out-of-state students (pg 1, c5) | Varsity team vs. Gonzaga University (pg 1, c8)",,Basketball; Out-of-state students; Basketball,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/2477/filename/arg-1948-12-10.pdf
arg-1948-12-14,2478,"December 14th, 1948",1948-12-14,1948,"Christmas candlelight concert (pg 1, c8) | Photo (pg 1, c4) | Photo (pg 6, c1) | Photos (pg 4, c1) | Planning for 1950 addition. Sketch (pg 3, c1) | Schedule (pg 1, c2) | University of Idaho - Expansion (pg 5, c1) | University of Idaho - Expansion (pg 6, c5) | Varsity team vs. Whitman College. Photo (pg 8, c1)",,"Vandaleers; Messerly, Lois; ASUI-Executive Board; Campus life highlights; Student union building; Football; University of Idaho - Expansion; University of Idaho - Expansion; Basketball",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/2478/filename/arg-1948-12-14.pdf
arg-1949-01-07,2479,"January 7th, 1949",1949-01-07,1949,"Campus traffic laws and regulations (pg 1, c8) | Gifts to College of Law (pg 1, c7) | KUOI (pg 1, c6) | Library (pg 2, c6) | Library (pg 3, c8) | University of Idaho - Research (pg 2, c7) | University of Idaho - Research (pg 5, c1) | University of Idaho - Staff appointment (pg 1, c3) | Varsity team vs. University of Oregon, Eugene (pg 6, c1) | Varsity team. Photo (pg 1, c2)",,Campus traffic laws and regulations; Gifts to College of Law; KUOI; Library; Library; University of Idaho - Research; University of Idaho - Research; University of Idaho - Staff appointment; Basketball; Boxing,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/2479/filename/arg-1949-01-07.pdf
arg-1949-01-11,2480,"January 11th, 1949",1949-01-11,1949,"Photo (pg 2, c3) | Planning for 1950 addition (pg 1, c8) | Statistics (pg 4, c1) | University of Idaho - Research council (pg 1, c5) | Varsity team. Photo (pg 4, c3)",,University Symphony orchestra; Student union building; Basketball; University of Idaho - Research council; Boxing,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/2480/filename/arg-1949-01-11.pdf
arg-1949-01-14,2481,"January 14th, 1949",1949-01-14,1949,"KUOI (pg 1, c8) | Statistics (pg 0, c8)",,KUOI; Football,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/2481/filename/arg-1949-01-14.pdf
arg-1949-01-18,2482,"January 18th, 1949",1949-01-18,1949,"Academic Council (pg 1, c4) | Debate - Inland Empire Debate tournament (pg 1, c2) | Photo (pg 4, c3) | University of Idaho - Expansion (pg 1, c8) | University of Idaho vs. Washington State College (pg 2, c1) | Varsity team vs. Oregon State College, Corvallis (pg 4, c1) | Veterans (pg 1, c4)",,"Academic Council; Debate - Inland Empire Debate tournament; Brimhall, Preston; Carlson, Herb; University of Idaho - Expansion; Skiing; Basketball; Veterans",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/2482/filename/arg-1949-01-18.pdf
arg-1949-01-21,2483,"January 21st, 1949",1949-01-21,1949,"KUOI (pg 1, c3) | Photo (pg 1, c5) | Photo (pg 1, c8) | Rigby, Tom (pg 1, c2) | University of Idaho - Birthday anniversary (pg 1, c2)",,"KUOI; Dahlstrom, Robert; Tanner, Shirley; Rigby, Tom; University of Idaho - Birthday anniversary",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/2483/filename/arg-1949-01-21.pdf
arg-1949-01-25,1961,"January 25th, 1949",1949-01-25,1949,"Derr, Allen (pg 1, c6) | Faculty. College of Education. University of Idaho (pg 1, c6) | Freshmen team vs. WSC freshmen (pg 4, c5) | Photo (pg 1, c2) | Photo (pg 1, c3) | Registration - Procedure (pg 1, c2) | Ski team (pg 3, c3) | University of Idaho vs. EWCE (pg 4, c3) | Varsity team vs. Eastern Washington College of Education (Chenny). Photo (pg 4, c1) | Varsity team vs. Washington State College. Photo (pg 4, c5)",,"Derr, Allen; Snider, Hervon L.; Basketball; Graham, Bonnie; Weitz, Margaret; Registration - Procedure; Ski team; Swimming; Boxing; Basketball",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1961/filename/arg-1949-01-25.pdf
arg-1949-02-01,1968,"February 1st, 1949",1949-02-01,1949,"Freshmen team vs. WSC freshmen (pg 4, c2) | Gifts to University of Idaho (pg 1, c7) | Library displays (pg 2, c5) | Photo (pg 4, c1) | Photo (pg 4, c3) | Registration - Procedure (pg 1, c3) | Varsity team vs. Washington State College. Photo (pg 1, c8)",,"Basketball; Gifts to University of Idaho; Library displays; Grove, Joe; Ski team; Konsgaard, Sverre; Registration - Procedure; Basketball",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1968/filename/arg-1949-02-01.pdf
arg-1949-02-04,1965,"February 4th, 1949",1949-02-04,1949,"Enrollment - University of Idaho (pg 1, c8) | Photo (pg 1, c2) | Pritchett, Bob (pg 4, c3)",,"Enrollment; Spring registration; Pritchett, Bob",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1965/filename/arg-1949-02-04.pdf
arg-1949-02-08,1962,"February 8th, 1949",1949-02-08,1949,"Football - Coaching staff (pg 1, c2) | Gilbert, Nada (pg 1, c5) | Photo (pg 2, c3) | Varsity team vs. Oregon State College, Corvallis. Photo (pg 4, c1)",,"Football - Coaching staff; Gilbert, Nada; Scoring machine; Basketball",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1962/filename/arg-1949-02-08.pdf
arg-1949-02-11,1969,"February 11th, 1949",1949-02-11,1949,"Branch Experiment Stations (pg 2, c1) | Faculty, U of I coaching staff. Photo (pg 1, c8) | Photo (pg 1, c4) | Photo (pg 1, c6) | Varsity team. Photo (pg 4, c3)",,"Branch Experiment Stations; Curfman, R.A. (Babe); Athletic field house; Scabbard and blade; Boxing",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1969/filename/arg-1949-02-11.pdf
arg-1949-02-15,1967,"February 15th, 1949",1949-02-15,1949,"Konsgaard, Sverre (pg 4, c3) | Photo (pg 4, c1) | University of Idaho - Research foundation (pg 2, c3) | Varsity team vs. University of Washington (pg 4, c5) | Varsity team vs. Washington State College (pg 4, c1)",,"Konsgaard, Sverre; Stallworth, Nick; University of Idaho - Research foundation; Basketball; Boxing",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1967/filename/arg-1949-02-15.pdf
arg-1949-02-18,1971,"February 18th, 1949",1949-02-18,1949,"Debate - Intercollegiate Forensic League (pg 1, c5) | Photo (pg 4, c1) | Student activities board (pg 1, c8)",,"Debate - Intercollegiate Forensic League; Geisler, Dick; Student activities board",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1971/filename/arg-1949-02-18.pdf
arg-1949-02-22,1966,"February 22nd, 1949",1949-02-22,1949,"I' Club (pg 1, c6) | Bridge tournament (pg 1, c7) | College of Law (pg 3, c4) | Graduates (pg 3, c4) | Summer school (pg 1, c4) | University of Idaho - Staff appointment (pg 2, c7) | Varsity team vs. Gonzaga (pg 4, c5) | Varsity team vs. University of Washington. Photo (pg 4, c1)",,I' Club; Bridge tournament; College of Law; School of Law; Summer school; University of Idaho - Staff appointment; Boxing; Basketball,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1966/filename/arg-1949-02-22.pdf
arg-1949-02-25,1963,"February 25th, 1949",1949-02-25,1949,"Gifts to University of Idaho (pg 1, c2) | Photo (pg 1, c4) | Photo (pg 4, c1) | Student activities board (pg 1, c8) | Varsity team vs. Washington State College (pg 4, c1)",,"Gifts to University of Idaho; Brimhall, Preston; Carlson, Herb; Student activities board; Basketball",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1963/filename/arg-1949-02-25.pdf
arg-1949-03-01,1970,"March 1st, 1949",1949-03-01,1949,"Constitution (pg 2, c3) | Debate - Intercollegiate Forensic League (pg 1, c8) | Faculty, Basketball coach, U of I. Photo (pg 1, c2) | Freshmen team vs. WSC freshmen (pg 4, c5) | Library displays (pg 1, c4) | Varsity team vs. University of Wisconsin (pg 4, c3) | Varsity team vs. Washington State College (pg 4, c1)",,"Associated Women Students; Debate - Intercollegiate Forensic League; Finley, Chuck; Basketball; Library displays; Boxing",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1970/filename/arg-1949-03-01.pdf
arg-1949-03-04,1964,"March 4th, 1949",1949-03-04,1949,"ASUI play (pg 1, c4) | Honorary degrees (pg 1, c5) | Statistics (pg 4, c1)",,Time of your Life'; Honorary degrees; Basketball,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1964/filename/arg-1949-03-04.pdf
arg-1949-03-08,1972,"March 8th, 1949",1949-03-08,1949,"Basketball, History of Idaho (pg 3, c3) | Constitution (pg 1, c2) | Faculty, Department of Agriculture Economics, U of I (pg 1, c6) | Photo (pg 4, c1) | Planning for 1950 addition. Sketch (pg 3, c1) | Swimming team (pg 2, c6) | Varsity team vs. Gonzaga. Photo (pg 4, c3)",,"Basketball, History of Idaho; Associated Women Students; Folz, William E.; Diehl, Ted; Student union building; Swimming team; Boxing",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1972/filename/arg-1949-03-08.pdf
arg-1949-03-11,1973,"March 11th, 1949",1949-03-11,1949,"Photo (pg 1, c7)",,KUOI,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1973/filename/arg-1949-03-11.pdf
arg-1949-03-15,1974,"March 15th, 1949",1949-03-15,1949,"Basketball (pg 4, c1) | Photo (pg 1, c4) | Photo (pg 4, c1) | Photo (pg 4, c3) | Questionnaire (pg 1, c8) | Teacher-course rating plan (pg 2, c4) | Varsity team vs. Washington State College (pg 4, c6)",,"Basketball; Slavin, Gayle; Bahr, Vernon; Swimming team; ASUI-Executive Board; Teacher-course rating plan; Boxing",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1974/filename/arg-1949-03-15.pdf
arg-1949-03-18,1975,"March 18th, 1949",1949-03-18,1949,"Fitzgerald, Rosemary (pg 1, c4) | Phi Beta Kappa (pg 1, c4) | Questionnaire (pg 1, c2)",,"Fitzgerald, Rosemary; Phi Beta Kappa; ASUI-Executive Board",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1975/filename/arg-1949-03-18.pdf
arg-1949-03-22,1976,"March 22nd, 1949",1949-03-22,1949,"Gifts to University of Idaho (pg 1, c5) | Photo (pg 4, c1) | Photo (pg 4, c3) | Senior men's honorary (pg 1, c4) | Sigma Tau (pg 1, c6) | Varsity team vs. San Jose State (pg 4, c5)",,"Gifts to University of Idaho; Ellis, Donald; Ski team; Silver lance; Sigma Tau; Boxing",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1976/filename/arg-1949-03-22.pdf
arg-1949-03-25,1977,"March 25th, 1949",1949-03-25,1949,"Borah Outlawry of War Foundation (pg 1, c4)",,Borah Outlawry of War Foundation,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1977/filename/arg-1949-03-25.pdf
arg-1949-03-29,1978,"March 29th, 1949",1949-03-29,1949,"Photo (pg 4, c4) | Varsity team vs. Eastern Washington College of Education (Chenny) (pg 4, c1)",,"Hamon, Clarke; Boxing",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1978/filename/arg-1949-03-29.pdf
arg-1949-04-01,1979,"April 1st, 1949",1949-04-01,1949,"The Idaho Argonaut - April fool issue (pg 0, c0)",,The Idaho Argonaut - April fool issue,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1979/filename/arg-1949-04-01.pdf
arg-1949-04-02,1980,"April 2nd, 1949",1949-04-02,1949,"History (pg 6, c1) | History. Photo (pg 7, c1) | Photo (pg 1, c8) | Photo (pg 3, c1) | Photo (pg 8, c3) | The Idaho Argonaut anniversary (pg 1, c5) | University of Idaho - Expansion (pg 1, c7)",,"The Idaho Argonaut; The Idaho Argonaut; Golf club house; University of Idaho - History; Hazelbaker, Wayne; The Idaho Argonaut anniversary; University of Idaho - Expansion",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1980/filename/arg-1949-04-02.pdf
arg-1949-04-05,1981,"April 5th, 1949",1949-04-05,1949,"Basketball (pg 4, c1) | National Collegiate Athletic Association meet. Photo (pg 1, c8) | Photo (pg 2, c4)",,"Basketball; Boxing; Bressler, Beverly",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1981/filename/arg-1949-04-05.pdf
arg-1949-04-08,1982,"April 8th, 1949",1949-04-08,1949,"Borah Conference (pg 1, c8) | Spring (pg 6, c1) | Statistics (pg 4, c1)",,Borah Conference; Football; Basketball,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1982/filename/arg-1949-04-08.pdf
arg-1949-04-12,1983,"April 12th, 1949",1949-04-12,1949,"National Collegiate Athletic Association meet (pg 1, c4) | Photo (pg 1, c2) | Photo (pg 4, c4) | Photo (pg 5, c2) | Photo (pg 6, c1) | Varsity team vs. Gonzaga (pg 6, c7) | Varsity team vs. Lewiston Normal (pg 6, c7)",,"Boxing; Borah Conference; Ski team; Glaves, Max; Walker, Len; Baseball",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1983/filename/arg-1949-04-12.pdf
arg-1949-04-19,1984,"April 19th, 1949",1949-04-19,1949,"ASUI-Elections (pg 1, c8) | National Collegiate Athletic Association meet (pg 1, c2) | Photo (pg 4, c3) | University of Idaho vs. University of Oregon (pg 4, c1) | Varsity team vs. Oregon State College (pg 4, c1)",,"ASUI-Elections; Boxing; Godwin, William D.; Track; Baseball",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1984/filename/arg-1949-04-19.pdf
arg-1949-04-22,1989,"April 22nd, 1949",1949-04-22,1949,"Intercollegiate Knights (pg 1, c8) | Smith, E. Wayne (pg 1, c2) | University of Idaho vs. Gonzaga (pg 4, c1) | University physician (pg 1, c2)",,"Intercollegiate Knights; Smith, E. Wayne; Tennis; Alley, Ralph M.",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1989/filename/arg-1949-04-22.pdf
arg-1949-04-26,2000,"April 26th, 1949",1949-04-26,1949,"ASUI play. Photo (pg 1, c5) | Photo (pg 1, c3) | Photo (pg 1, c4) | University of Idaho vs. University of Montana (pg 4, c5) | University of Idaho vs. Washington State College (pg 4, c5)",,"Chicken Every Sunday'; Carlson, Herb; Moulton, Robert; Tennis",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/2000/filename/arg-1949-04-26.pdf
arg-1949-04-29,2003,"April 29th, 1949",1949-04-29,1949,"Agriculture experiment station (pg 5, c6) | ASUI-Elections (pg 1, c7) | Curriculum (pg 2, c1) | Idaho cooperative wildlife research (pg 5, c6) | Little International (pg 1, c2) | Photo (pg 1, c4) | Photo (pg 3, c3) | Photo (pg 3, c4) | Questionnaire (pg 2, c5) | University of Idaho vs. Whitman (pg 6, c6) | Varsity team vs. Washington State College (pg 6, c1)",,"Agriculture experiment station; ASUI-Elections; Department of Geology; Idaho cooperative wildlife research; Little International (Agriculture week); Moulton, Robert; Sigma Chi; Hell Divers; ASUI-Executive Board; Tennis; Baseball",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/2003/filename/arg-1949-04-29.pdf
arg-1949-05-03,1985,"May 3rd, 1949",1949-05-03,1949,"Fencing (pg 4, c5) | Little International (pg 1, c8) | Mortar board (pg 1, c6) | Photo (pg 4, c1) | Photo (pg 4, c3) | Questionnaire (pg 2, c3) | University of Idaho vs. University of Washington (pg 4, c2)",,"Fencing; Little International (Agriculture week); Mortar Board; Christian, Glenn; Track; ASUI-Executive Board; Tennis",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1985/filename/arg-1949-05-03.pdf
arg-1949-05-06,1986,"May 6th, 1949",1949-05-06,1949,"Photo (pg 1, c6) | Photo (pg 2, c4) | Questionnaire (pg 2, c4) | Trophy award. Photo (pg 1, c2)",,"Tovey, Mary Sue; Student - Moscow businessmen relations; ASUI-Executive Board; White, Ronald",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1986/filename/arg-1949-05-06.pdf
arg-1949-05-10,1987,"May 10th, 1949",1949-05-10,1949,"May fete (pg 1, c3) | University of Idaho vs. Washington State College (pg 4, c3) | Vandaleers (pg 1, c5) | Varsity team vs. Oregon State College. Photo (pg 4, c1)",,May fete; Track; Vandaleers; Baseball,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1987/filename/arg-1949-05-10.pdf
arg-1949-05-13,1988,"May 13th, 1949",1949-05-13,1949,"Intersquat game (pg 4, c1) | University Day (pg 1, c8)",,Football; University Day,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1988/filename/arg-1949-05-13.pdf
arg-1949-05-17,1990,"May 17th, 1949",1949-05-17,1949,"Intersquat game (pg 4, c1) | Photo (pg 1, c2) | University of Idaho vs. Montana State (pg 4, c5) | University of Idaho vs. University of Washington (pg 4, c3)",,"Football; Packenham, Polly; Track; Baseball",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1990/filename/arg-1949-05-17.pdf
arg-1949-05-20,1991,"May 20th, 1949",1949-05-20,1949,"Alumni reunion (pg 1, c2) | Library (pg 1, c5) | Pacific Student Presidents Association (pg 1, c8) | School of Forestry (pg 1, c6) | Varsity team vs. Washington State College (pg 4, c3)",,Alumni reunion; Library; Pacific Student Presidents Association; School of Forestry; Baseball,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1991/filename/arg-1949-05-20.pdf
arg-1949-05-24,1992,"May 24th, 1949",1949-05-24,1949,"Class of 1949 (pg 8, c1) | Commencement (pg 1, c8) | Commencement speakers (pg 1, c8) | Photo (pg 1, c1) | Photo (pg 1, c3) | Photos (pg 7, c1) | Service to university (pg 9, c1) | Track - University of Idaho (pg 6, c1) | University of Idaho - Expansion (pg 1, c4) | University of Idaho - Research (pg 10, c6) | Varsity team vs. Washington State College (pg 6, c5)",,"Class of 1949; Commencement; Commencement speakers; Pier, Jane; Garber, Jan; Weeks, Dave; Campus life highlights; University of Idaho - Staff; Track; University of Idaho - Expansion; University of Idaho - Research; Baseball",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1992/filename/arg-1949-05-24.pdf
arg-1949-09-16,1993,"September 16th, 1949",1949-09-16,1949,"Board bill (pg 1, c4) | Department of Physical Education (pg 3, c4) | On drinking (pg 2, c3) | Orientation of freshmen (pg 1, c4) | Pettijohn, William (pg 1, c6) | Potvin, Gregory (pg 1, c6) | Registration - Procedure (pg 1, c7) | Schedule (pg 6, c3) | Schedules (pg 6, c1) | Scholarships and Grants (pg 1, c8) | Scholarships and Grants (pg 5, c8) | Southern Idaho special (pg 1, c2) | Staff, Director of Information, U of I (pg 3, c1) | University of Idaho - Expansion (pg 5, c1) | University of Idaho vs. Willamette (pg 1, c8)",,"Dormitories; Department of Physical Education; University of Idaho - Regulations; Orientation of freshmen; Pettijohn, William; Potvin, Gregory; Registration - Procedure; Basketball; Boxing; Scholarships and grants; Scholarships and grants; Southern Idaho special; Gibbs, Raphael (Rafe); University of Idaho - Expansion; Football",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1993/filename/arg-1949-09-16.pdf
arg-1949-09-20,1994,"September 20th, 1949",1949-09-20,1949,"Alley, Ralph M. (pg 1, c6) | Appointments (pg 5, c1) | Blue key (pg 1, c2) | Campus Humor magazine (pg 1, c5) | Davis, Clifford L. (pg 1, c6) | Faculty, Department of Forestry. U of I (pg 4, c7) | Faculty, Department of Music, U of I (pg 1, c2) | Faculty, Department of Music. U of I (pg 1, c2) | Faculty, English Department, U of I (pg 1, c7) | Faculty, Mathematics department (pg 1, c6) | Faculty, U of I Music Department (pg 3, c1) | Faculty, Veterinary Science. University of Idaho (pg 1, c7) | Faculty. College of Law. University of Idaho (pg 1, c6) | Faculty. Department of Metallurgy. University of Idaho (pg 1, c7) | Faculty. University of Idaho Humanities (pg 1, c7) | Fraternities and sorority rush (pg 6, c1) | Gifts to University of Idaho (pg 1, c7) | Homecoming (pg 1, c2) | Idaho club (pg 2, c6) | Origination of 'Vandals' (pg 8, c8) | Registration - Procedure (pg 1, c8) | Standard Oil (pg 4, c1) | University band (pg 6, c7) | University of Idaho vs. Willamette (pg 7, c1) | University of Idaho vs. Willamette (pg 8, c1) | University physician (pg 1, c6) | Wilson, Calvin L. (pg 4, c2) | Women's recreational Association (WRA) (pg 1, c4)",,"Alley, Ralph M.; University committees; Blue key; BLOT; Davis, Clifford L.; Hungerford, Kenneth E.; Forney, Keith S.; Huber, Louis H.; Engle, Bernard F.; Botsford, James F.; Claus, Carl; Wiggins, Grant E.; Shea, Robert E.; Skiles, David O.; Tenney, William H,; Fraternities and sorority rush; Gifts to University of Idaho; Homecoming; Dormitories; Origination of 'Vandals'; Registration - Procedure; Scholarships; University band; Football; Alley, Ralph M.; Wilson, Calvin L.; Women's recreational Association (WRA)",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1994/filename/arg-1949-09-20.pdf
arg-1949-09-23,1995,"September 23rd, 1949",1949-09-23,1949,"Advisory council (pg 2, c5) | Bollinger, Anne (pg 1, c7) | Canterbury House (pg 2, c3) | Canterbury House (pg 4, c4) | Faculty, Business Department. U of I (pg 1, c2) | Fraternities and sorority rush (pg 3, c1) | Homecoming (pg 1, c4) | Pep Band (pg 1, c2) | Photo (pg 2, c3) | Registration - Procedure (pg 1, c8) | Scholarships and Grants (pg 1, c6) | Staff (pg 1, c3) | Statistics (pg 4, c3) | Women's 'I' club (pg 1, c8)",,"University of Idaho - Research; Bollinger, Anne; Canterbury House; Canterbury House; Marshall, Charles E.; Fraternities and sorority rush; Homecoming; Pep Band; Bollinger, Anne; Registration - Procedure; Scholarships and grants; R.O.T.C. - All services; Football; Women's 'I' club",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1995/filename/arg-1949-09-23.pdf
arg-1949-09-27,1996,"September 27th, 1949",1949-09-27,1949,"Alumni (pg 4, c2) | Arnold Air Society (pg 1, c7) | Bollinger, Anne (pg 1, c8) | Homecoming (pg 1, c2) | National Student's Association (NSA) (pg 2, c1) | Organization of Gymnastics (pg 4, c4) | Photo (pg 4, c3) | Radio division, Humanities department (pg 1, c4) | U of I president, 1946-1954 (pg 1, c3) | University of Idaho vs. University of Oregon (pg 4, c1)",,"Alumni; Arnold Air Society; Bollinger, Anne; Homecoming; National Student's Association (NSA); Organization of Gymnastics; Shireman, Al; Radio division, Humanities department; Buchanan, Jesse E.; Football",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1996/filename/arg-1949-09-27.pdf
arg-1949-09-30,1997,"September 30th, 1949",1949-09-30,1949,"Agriculture experiment station (pg 3, c5) | Alumni (pg 3, c4) | Art student's club (pg 3, c1) | Campus Humor magazine (pg 1, c4) | Faculty women's club (pg 3, c3) | Homecoming (pg 1, c8) | Man verses women (pg 1, c8) | Nickle Hop (pg 1, c5) | Organization of Gymnastics (pg 4, c4) | Photo (pg 1, c6) | Standard Oil (pg 1, c2) | Vandal flying club (pg 1, c1) | Vandaleers (pg 1, c3)",,Agriculture experiment station; Alumni; Attic club; BLOT; Faculty women's club; Homecoming; Grades; Nickle Hop; Organization of Gymnastics; Yell team; Scholarships; Vandal flying club; Vandaleers,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1997/filename/arg-1949-09-30.pdf
arg-1949-10-04,1998,"October 4th, 1949",1949-10-04,1949,"Activities point system (Sponsored by AWS Mortar Board) (pg 1, c2) | Chapman, Donna (pg 1, c4) | Coaching staff, U of I. Photo (pg 1, c5) | Curriculum (pg 1, c7) | Homecoming (pg 1, c2) | International relations club (pg 2, c1) | KUOI - Program schedule (pg 2, c3) | Pershing rifles (pg 1, c3) | Photo (pg 1, c5) | Photo (pg 4, c2) | Scholarships and Grants (pg 2, c5) | University of Idaho - Expansion (pg 3, c5) | University of Idaho vs. University of Texas (pg 4, c1)",,"Activities point system (Sponsored by AWS Mortar Board); Chapman, Donna; Howell, Dixie; Curriculum; Homecoming; International relations club; KUOI - Program schedule; Pershing rifles; Killsgaard, Carl; Jayne, Ben; Scholarships and grants; University of Idaho - Expansion; Football",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1998/filename/arg-1949-10-04.pdf
arg-1949-10-07,1999,"October 7th, 1949",1949-10-07,1949,"Dairy Judging team (pg 1, c7) | Debate team (pg 1, c2) | Enrollment - University of Idaho (pg 2, c5) | Holm, Glen E. (pg 3, c5) | Homecoming (pg 1, c8) | Kayser, Edna Janes (pg 3, c2) | Pep Band (pg 1, c2) | Photo (pg 1, c1) | Photo (pg 1, c3) | Photo (pg 1, c4) | Photo (pg 1, c6) | Photo (pg 1, c8) | Photo (pg 4, c1) | Sigma Gamma Epsilon (pg 2, c7) | Staff (pg 1, c4)",,"Dairy Judging team; Debate team; Enrollment; Holm, Glen E.; Homecoming; Kayser, Edna Janes; Pep Band; Slavin, Gayle; Collins, Bonese; Healander, Beatrice; Biker, Betty Anne; Heinrich, Marilyn; Larch, Lois; Colquitt, Ray; Sigma Gamma Epsilon; Gem of the Mountains",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1999/filename/arg-1949-10-07.pdf
arg-1949-10-11,2001,"October 11th, 1949",1949-10-11,1949,"Alumni (pg 1, c4) | Boy Scouts of America service fraternity (pg 3, c3) | Dairy Judging team (pg 1, c5) | Department of Home Economics (pg 3, c1) | Football - Freshman (pg 4, c1) | Homecoming - Schedule of events (pg 1, c5) | Homecoming (pg 1, c8) | Johnson, William F. (pg 2, c3) | Number (pg 1, c6) | Parade (pg 1, c3) | Peterson, Avery F. (pg 1, c6) | Photo (pg 1, c2) | Photo (pg 4, c2) | Rhodes (pg 1, c5) | Standard Oil. Photo (pg 2, c4) | Vandal flying club (pg 1, c4)",,"Alumni; Alpha Phi Omega; Dairy Judging team; Department of Home Economics; Football - Freshman; Homecoming - Schedule of events; Homecoming; Johnson, William F.; Enrollment; Homecoming; Peterson, Avery F.; Healander, Beatrice; Tovey, Morgan; Trees, Tom; Scholarships; Scholarships; Vandal flying club",https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/2001/filename/arg-1949-10-11.pdf
